categories,coordinates.latitude,coordinates.longitude,distance,location.city,location.state,price,rating,review_count,transactions
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'donuts', 'title': 'Donuts'}]",39.953764,-75.15921800000001,1021.6292895299845,Philadelphia,PA,$,4.5,1267,"['delivery', 'pickup']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cupcakes', 'title': 'Cupcakes'}, {'alias': 'desserts', 'title': 'Desserts'}]",39.942240000000005,-75.1553,1871.9652583395025,Philadelphia,PA,$$,5.0,292,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cupcakes', 'title': 'Cupcakes'}, {'alias': 'donuts', 'title': 'Donuts'}]",33.474171999999996,-112.0648051,3279.0797931585157,Phoenix,AZ,$$,4.5,674,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'delis', 'title': 'Delis'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]",33.48355,-112.04791999999999,4754.3831839344875,Phoenix,AZ,$,4.5,393,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",29.4423221525986,-98.48008974687191,6679.671034829074,San Antonio,TX,$$,4.0,998,"['pickup', 'delivery']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}]",32.7202651175774,-117.165794932541,7893.814274947268,San Diego,CA,$$,4.0,7602,"['pickup', 'delivery']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",32.735277,-117.16143899999999,6186.579683710659,San Diego,CA,$$,4.0,3311,"['pickup', 'delivery']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'catering', 'title': 'Caterers'}]",32.7548027885325,-117.222713604569,7549.172034201163,San Diego,CA,$$,4.5,1233,"['pickup', 'delivery']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]",32.8058966053105,-96.86667172140758,7195.482330141655,Dallas,TX,$,4.5,323,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'cupcakes', 'title': 'Cupcakes'}]",37.36573,-121.82733999999999,7477.5425491071965,San Jose,CA,$,4.5,1585,[]
"[{'alias': 'bakeries', 'title': 'Bakeries'}]",37.34935,-121.89401000000001,3738.906033231811,San Jose,CA,$$,4.5,706,[]
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]",37.38477,-121.9074193,7846.119341963344,San Jose,CA,$$$$,5.0,574,"['pickup', 'delivery']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'colombian', 'title': 'Colombian'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",37.2556595,-121.8970034,6844.946792398698,San Jose,CA,$$,4.5,659,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'cupcakes', 'title': 'Cupcakes'}]",37.229853999999996,-121.871857,9704.44839035503,San Jose,CA,$$,4.5,587,"['pickup', 'delivery']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'donuts', 'title': 'Donuts'}]",37.3531827354946,-121.824288292862,6747.836252887802,San Jose,CA,$,4.5,959,"['pickup', 'delivery']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cafes', 'title': 'Cafes'}]",37.3155397971275,-121.978173101276,8234.04450276784,San Jose,CA,$,4.5,813,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'customcakes', 'title': 'Custom Cakes'}]",37.244813470261896,-121.890670352917,7984.4588701906005,San Jose,CA,$$,4.5,659,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'cookingclasses', 'title': 'Cooking Classes'}]",30.307609999999997,-97.739877,1734.5902732588725,Austin,TX,$$,4.0,635,[]
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'diners', 'title': 'Diners'}]",39.8501654651067,-86.1394982076345,4884.90011997376,Indianapolis,IN,$$,4.5,372,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}]",39.757526,-86.145663,5453.548507682498,Indianapolis,IN,$$,5.0,147,[]
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}]",30.2580151272354,-81.6175009229904,3264.152082721505,Jacksonville,FL,$$,4.5,754,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}]",30.31164,-81.69422,7857.8324261231455,Jacksonville,FL,$$,4.5,392,[]
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",30.309780414326898,-81.7154635634794,9735.995306884699,Jacksonville,FL,$,4.5,161,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",30.264573,-81.592881,3461.798507284483,Jacksonville,FL,$,4.5,107,"['pickup', 'delivery']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'desserts', 'title': 'Desserts'}]",37.761309999999995,-122.42431,1087.6389326055805,San Francisco,CA,$$,4.0,7908,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}, {'alias': 'macarons', 'title': 'Macarons'}]",37.78783,-122.44073,3024.692512860378,San Francisco,CA,$$,4.5,2562,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'donuts', 'title': 'Donuts'}]",37.791883,-122.4212,3696.6573100706623,San Francisco,CA,$,4.5,3043,"['pickup', 'delivery']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'pizza', 'title': 'Pizza'}]",37.7633882,-122.4664991,2656.207374016711,San Francisco,CA,$,4.5,1949,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}]",37.783429,-122.45930700000001,3211.3841366374872,San Francisco,CA,$$,4.5,1218,[]
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]",37.78267,-122.46493000000001,3492.5239262642963,San Francisco,CA,$$,4.5,1698,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",37.7502,-122.42013,1846.7743188995667,San Francisco,CA,$,4.5,1689,"['pickup', 'delivery']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'cantonese', 'title': 'Cantonese'}]",37.7954584839809,-122.40835836501199,4567.410040005037,San Francisco,CA,$,4.0,2675,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}]",37.7875909362522,-122.418352626264,3367.1999359858446,San Francisco,CA,$$,4.0,2463,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'candy', 'title': 'Candy Stores'}]",37.786365999999994,-122.43011000000001,2886.012752557909,San Francisco,CA,$,4.5,1000,[]
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",39.951168,-82.99587199999999,6731.17209096002,Columbus,OH,$$,4.5,638,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'customcakes', 'title': 'Custom Cakes'}]",40.0501763839821,-83.0516333315606,6201.322230421601,Columbus,OH,$,4.5,281,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",40.023558,-83.014092,1846.9735622110013,Columbus,OH,$$,4.5,297,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}]",35.241145,-80.812057,5284.519290652392,Charlotte,NC,$$,4.0,1825,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'salad', 'title': 'Salad'}]",32.7307749,-97.33964470000001,2337.4772170108354,Fort Worth,TX,$$,4.0,769,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",42.3504092643867,-83.0640757083893,2582.222645182998,Detroit,MI,$,4.5,307,"['pickup', 'delivery']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'donuts', 'title': 'Donuts'}]",42.431444,-83.113959,7904.190122734835,Detroit,MI,$,4.5,215,['pickup']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]",42.335409999999996,-83.04195,5024.319205254221,Detroit,MI,$,4.0,396,"['pickup', 'delivery']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'cafes', 'title': 'Cafes'}]",31.765385,-106.4947719,7096.75244691317,El Paso,TX,$$,4.5,108,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}]",35.133861200000005,-90.0562979,2393.8980750822875,Memphis,TN,$,5.0,75,"['delivery', 'pickup']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]",35.132668100000004,-90.05847390000001,2576.9664103581226,Memphis,TN,$$,4.0,263,['delivery']
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'catering', 'title': 'Caterers'}]",40.722237,-73.98743,1954.7472206615387,New York,NY,$$,4.0,12286,"['delivery', 'pickup']"
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",34.056090000000005,-118.27658000000001,4150.176220936587,Los Angeles,CA,$$,4.5,3751,['delivery']
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'greek', 'title': 'Greek'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",34.0474029033579,-118.299641746033,2549.3662635371106,Los Angeles,CA,$$,4.5,1923,"['pickup', 'delivery']"
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'italian', 'title': 'Italian'}]",34.0476,-118.31723400000001,1601.7839253433415,Los Angeles,CA,$$,4.5,1484,"['delivery', 'pickup']"
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",29.742901899999996,-95.46086509999999,9909.535524737528,Houston,TX,$$,4.0,1173,['delivery']
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}]",39.953284000000004,-75.159403,1007.3855359668522,Philadelphia,PA,$$,4.5,657,[]
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",33.347925219217,-111.976659434918,13853.281919389241,Phoenix,AZ,$,4.5,650,['delivery']
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'cheesesteaks', 'title': 'Cheesesteaks'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",29.56441,-98.55768,8834.283454738568,San Antonio,TX,$,5.0,1157,['delivery']
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'german', 'title': 'German'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",29.4237029599327,-98.48829525101709,8261.627065952023,San Antonio,TX,$,4.0,1134,['delivery']
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'diners', 'title': 'Diners'}]",29.4274321,-98.470105,8596.986691213726,San Antonio,TX,$,4.5,481,['delivery']
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cafes', 'title': 'Cafes'}]",32.8114855745709,-96.80639452327878,3112.7908529330925,Dallas,TX,$$,4.0,858,['delivery']
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",37.3823127746582,-121.894813537598,7373.025472546058,San Jose,CA,$$,4.0,1214,['delivery']
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",37.380149620061495,-121.82743549346901,8722.204256696978,San Jose,CA,$$,4.5,812,['delivery']
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",30.342655999999998,-97.725445,5194.609099530559,Austin,TX,$,4.5,1161,['delivery']
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'desserts', 'title': 'Desserts'}]",39.756312,-86.159469,5839.281706246416,Indianapolis,IN,$$,4.0,604,"['pickup', 'delivery']"
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",39.85139,-86.14641999999999,5062.440551453354,Indianapolis,IN,$$,4.0,387,"['delivery', 'pickup']"
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",39.7798485941711,-86.14221531155711,2953.9787849828303,Indianapolis,IN,$$,4.5,214,['delivery']
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",37.7776247966103,-122.407012712007,3186.2946459576815,San Francisco,CA,$$,4.5,1355,['delivery']
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cafes', 'title': 'Cafes'}]",39.9714992218486,-82.9214528717193,7971.1742229267065,Columbus,OH,$,5.0,345,['delivery']
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'desserts', 'title': 'Desserts'}]",39.94429,-82.9925,7512.303790414582,Columbus,OH,$$,4.5,340,[]
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",35.2187347819213,-80.81196167651409,3062.7146716019715,Charlotte,NC,$,4.5,269,['delivery']
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",42.3290835,-83.0620948,4401.3703833712,Detroit,MI,$$,4.0,876,['delivery']
"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",31.826056199999996,-106.44024540000001,3835.349063867533,El Paso,TX,$,4.0,109,"['pickup', 'delivery']"
"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'halal', 'title': 'Halal'}]",40.76477,-73.98614,6579.837043273955,New York,NY,$,4.0,9461,"['delivery', 'pickup']"
"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'tacos', 'title': 'Tacos'}]",34.07967,-118.21837,9699.257211035112,Los Angeles,CA,$,4.5,1488,[]
"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'mexican', 'title': 'Mexican'}]",34.0725774690603,-118.214694509262,9902.711468013575,Los Angeles,CA,$,4.5,933,[]
"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'cheesesteaks', 'title': 'Cheesesteaks'}]",32.814262,-96.771146,3890.391359994464,Dallas,TX,$$,4.0,970,"['delivery', 'pickup']"
"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'tacos', 'title': 'Tacos'}]",30.3173,-81.68981,7704.225609054719,Jacksonville,FL,$,4.5,278,"['pickup', 'delivery']"
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",40.76282,-73.98518,6427.921252155354,New York,NY,$,4.5,4787,"['delivery', 'pickup']"
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'shavedice', 'title': 'Shaved Ice'}]",40.7478576793883,-73.9865590631962,4760.904253854418,New York,NY,$$,4.0,2484,"['delivery', 'pickup']"
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",34.047182358990895,-118.238639755523,7795.073519381259,Los Angeles,CA,$,5.0,1412,['delivery']
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",34.041973999999996,-118.235426,8213.757219253852,Los Angeles,CA,$$,4.0,5243,"['pickup', 'delivery']"
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",34.0453201,-118.2362393,8042.508673519843,Los Angeles,CA,$$,4.0,3097,"['delivery', 'pickup']"
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cafes', 'title': 'Cafes'}]",34.04886,-118.24045500000001,7588.427934045059,Los Angeles,CA,$,4.0,2150,['delivery']
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'cafes', 'title': 'Cafes'}]",41.882416,-87.633641,4442.308762840083,Chicago,IL,$,4.5,1954,"['pickup', 'delivery']"
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]",41.90828,-87.67471,435.88238733594636,Chicago,IL,$,4.5,1131,['delivery']
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'donuts', 'title': 'Donuts'}]",41.8846392380926,-87.63014685881392,4554.175015996145,Chicago,IL,$,4.5,1097,"['delivery', 'pickup']"
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",41.9186515808105,-87.68710327148442,1687.467688285902,Chicago,IL,$,4.5,837,['delivery']
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'cafes', 'title': 'Cafes'}]",29.74298,-95.40257,4681.445078871963,Houston,TX,$,4.0,1137,['delivery']
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]",29.79107,-95.386608,4042.45661062318,Houston,TX,$,4.5,422,['delivery']
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",29.744934082031197,-95.3907241821289,3591.163378883369,Houston,TX,$,4.5,474,['delivery']
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",29.767879999999998,-95.38076600000001,2080.0405671577373,Houston,TX,$,4.0,687,['delivery']
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'vegan', 'title': 'Vegan'}]",29.732625199999998,-95.3662922,3435.2955061649736,Houston,TX,$,4.5,386,['delivery']
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",29.717396,-95.433489,8735.770159254442,Houston,TX,$$,4.5,447,[]
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",29.7447567215738,-95.3925544023514,3745.708809709504,Houston,TX,$$,4.0,758,['delivery']
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'gelato', 'title': 'Gelato'}]",39.95127,-75.1695,313.23491060398817,Philadelphia,PA,$$,4.5,944,"['delivery', 'pickup']"
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'macarons', 'title': 'Macarons'}]",39.95191,-75.14435999999999,2295.741145502394,Philadelphia,PA,$$,5.0,238,[]
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",39.954605,-75.15620899999999,1281.3712692585534,Philadelphia,PA,$,4.0,792,"['pickup', 'delivery']"
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",33.5005972575259,-112.07423716997499,6191.1472325434215,Phoenix,AZ,$$,4.0,2269,['delivery']
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",33.46542,-112.082074,2523.044509316237,Phoenix,AZ,$$,4.5,1104,['delivery']
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",33.4588117,-112.0703636,1533.365823485911,Phoenix,AZ,$$,4.5,607,"['pickup', 'delivery']"
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",33.469968,-112.065431,2808.249736029666,Phoenix,AZ,$,4.5,800,['delivery']
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",33.451481,-112.09649499999999,2546.690718736059,Phoenix,AZ,$,4.5,487,['delivery']
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",33.4589658497245,-112.07048913572099,1550.6908606058387,Phoenix,AZ,$,4.5,410,['delivery']
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",33.5058546659985,-112.07400992407601,6773.601729942862,Phoenix,AZ,$$,4.5,657,['delivery']
"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",33.4713,-112.064761,2964.4987495134365,Phoenix,AZ,$$,4.5,697,"['pickup', 'delivery']"
