text,score,label
photograph raylenesunris morganmakingainz ❤,0.0,NEUTRAL
cock rates well rate cock 🍆🍆 babi 😍🏞 fluidwavi,-0.0258,NEUTRAL
cock rates well rate cock 🍆🍆 babi 😍🏞 fluidwavi,-0.0258,NEUTRAL
believ month ago 💍stil alway thank marri best friend ❤ one mon babi 😍🏞 fluidwavi,0.872,POSITIVE
one boob look good😋,0.0,NEUTRAL
still pot soup lolz 😂😂😂😅,0.5719,POSITIVE
back,0.0,NEUTRAL
👇👇👇👇👇👇,0.0,NEUTRAL
award k grant def help lot 🙌🏾🙏🏾 liter make joke autocorrect switch tag both trending,0.872,POSITIVE
oh well 🤷‍♂️lov building would love go top one day get view 😁,0.7964,POSITIVE
guy,0.0,NEUTRAL
enjoy video call her❤,0.4939,POSITIVE
lit 🔥how today guys im feel bit horni right lol💟 as ✨,0.0,NEUTRAL
👇🥰👇🌹👇🙏👇💐👇🤩👇,0.0,NEUTRAL
⬅✨,0.0,NEUTRAL
⬅✨,0.0,NEUTRAL
⬅✨,0.0,NEUTRAL
video completo en igtv 💜,0.0,NEUTRAL
tri fine small sen come follow👽subscrib channel ❤ new post daily 💪🏋💦 live found link bio ♥♥ mantra ✨,0.2023,NEUTRAL
charact page scenixtheentertain 💃,0.0,NEUTRAL
tell him🤔can take moment appreci perfect roasti 🥰😍😋💚🌱 thank time 🤭🤭🥰 strength family like strength army loyalti other,0.9337,POSITIVE
mario puzo,0.0,NEUTRAL
th ✨,0.0,NEUTRAL
keep smile 🥰,0.3612,POSITIVE
pride  ♥🧡💛💚💙💜 style team repres strong love acceptance equal inclus 🌈✨ love work three day week god know everyth el get done 🤷🏻‍♀️😬 spot left free trial 💦,0.9702,POSITIVE
month subscript ride morning explor ❤ one front ❤😍 go vegan,0.0,NEUTRAL
also everyon el 😀👏🌱globeshowingeuropeafrica✌💚,0.0,NEUTRAL
new spacesav way store cutleri drawer,0.0,NEUTRAL
😍 get 👉 time yourself cant fill anyon else cup empty🕉 love💗 ❤☀croatia🏖🤗😘😍💏☀💚🏖croatia🏡,0.0,NEUTRAL
beauty🖤,0.0,NEUTRAL
round polandpolish presidenti elect give hope change duda vs trzaskowski juli th awesom trend music game,0.4404,POSITIVE
funny exicting challenge,0.4939,POSITIVE
check out 👉til hop👈,0.0,NEUTRAL
guys im new here plea subscrib onlyfan content ❤ know right now 💯😎globeshowingamericas🌴🎤🎬❤yes someth desper wrong arcadia falls like noth anyon ever see before,-0.1531,NEUTRAL
👉 sweati 🥵 but good side summer day bring clingi tee 👀👀👀,0.5927,POSITIVE
retweet ill rest😈 pussi liter drippin 🙈 send tell would 😘 pic welcom 🤤 girl prefe collect 👑 inherit hope wear beauti insects winds breeze beauti mean 🌞 sun peac nudes dm me💦,0.0258,NEUTRAL
celebr,0.0,NEUTRAL
fli me😉,0.0,NEUTRAL
year day,0.0,NEUTRAL
altern earthhang mah brother niec today plu gotta tsunami🌊 feel affect productivity,0.0,NEUTRAL
read 👉,0.0,NEUTRAL
though iv never type celebr it im definit vibe w birthday love 😁😁 readi moniqu 🌈💙💚💛🧡❤💜🖤 support moniquesbraidingcollc awesom trend music game,0.7845,POSITIVE
funny exicting challenge,0.4939,POSITIVE
check out 👉til hop👈,0.0,NEUTRAL
summer heat swimsuit fun btw hottest content join onlyfans🔻,0.6705,POSITIVE
🔥 🔥 get coupl slick comment last time told truth lol yall ok warner,0.743,POSITIVE
fan hyderabad ❤check twitter differ social see post daddy💦,0.3182,POSITIVE
steve get well truli fuck 👍😂🦌modest performanceact wear available onlin platform come soon 💖✨,-0.34,NEGATIVE
✨✨,0.0,NEUTRAL
🥰🕊🌿💞💗💞🌿🎶globeshowingamericas🌞✨,0.0,NEUTRAL
🙏 💞 ✨ prerecord broadcast that rightw stream episod titled exactli,0.0,NEUTRAL
📷 🌿 toparrow 🏞 toptag bet media onesid view toni jone larg provid conclus evid queensland xd awesom trend music game,0.5859,POSITIVE
funny exicting challenge,0.4939,POSITIVE
check out 👉til hop👈,0.0,NEUTRAL
belong 🏳️‍🌈,0.0,NEUTRAL
lip,0.0,NEUTRAL
bodi tight wrap two,0.0,NEUTRAL
dream come true,0.5859,POSITIVE
✍obuttonbloodtypeabuttonbloodtypeobuttonbloodtype,0.0,NEUTRAL
😋 as worship violet starr anal toy four finger 😍,0.296,NEUTRAL
✨ ✨,0.0,NEUTRAL
like me 😄but cardio 🤷‍♀️let roller skate 💪🏽💃🏼✌🏽😉 get gcse graduat first class anyth possibl trust me 🎓 handsom look man 😏😉😋,0.7003,POSITIVE
super interest ufo documentari wer watching,0.7845,POSITIVE
👽🛸👍,0.0,NEUTRAL
goe 🎶 saddest thing pillari overthrown provid conclus evid socialist revolut love brasil,0.0516,NEUTRAL
😍❤brazil,0.0,NEUTRAL
fave sunglass snap part ☀ guy amaz sunday💙 babi 😍🏞 fluidwavi,0.4404,POSITIVE
ummmm face please 😍😢😭🥵🤯🤤💦🍆🍑🍫 bawb 😊🌈 thank everyon school love💗 ❤☀croatia🏖🤗😘😍💏☀💚🏖croatia🏡,0.5859,POSITIVE
meet patti 💜💛💜💛 thank posit uplift spirity hope,0.6597,POSITIVE
💯,0.0,NEUTRAL
feel 😎am sure sheep like realli nigga dont dat 😂😂😂😂😂,0.5859,POSITIVE
absolut bangon globeshowingamericas free ship worldwid,0.5106,POSITIVE
cant proclaim found friend  apt 💚 thank sharing debbie good afternoon 😊 awesom trend music game,0.678,POSITIVE
funny exicting challenge,0.4939,POSITIVE
check out 👉til hop👈,0.0,NEUTRAL
good bad 😅⚔😎,-0.1531,NEUTRAL
get mad like he mad 😉🤣,-0.5994,NEGATIVE
littl sluggish  snail one 🤣🤪,-0.4019,NEGATIVE
repost stuffifoundinterest,0.0,NEUTRAL
😳😳😂😂 atlanta georgia good 😌 👁💫 🍄trip taught valuabl lesson loveh frequenc high all vor trust this thing prevent franc last decad due great great time catch boy sarasota 😎💪 prolaps interraci fuck 🌹,0.9001,POSITIVE
▶ watch full video,0.0,NEUTRAL
sleep night much suffer world 💔,-0.5423,NEGATIVE
listen full mix inyourmix 👉 god everyday  🙏🏾 sell custom video photos make dream come true tell want see 🥳⭐ boys leo filthi home make vid page click link ➡ ⬅ fun😉😜😘,0.7351,POSITIVE
snap tetasrica 👻 wanna buy 🤑,0.0,NEUTRAL
🏳️‍🌈 month beauti colors magnific creations kaleidoscop life chanc sale end tomorrow 😲,0.7096,POSITIVE
best new salon qualiti nail kit off😍,0.6369,POSITIVE
shop 👉 media love affair toni jone today could due sale baguett xd sad  🔣 🌋 🙉 ⤴ 💧 japanesediscountbutton japanesefreeofchargebutton 🔤 🚓 🚡 ⭐ ⚡it monday let go smash week 🙌🏼🙌🏼,0.7096,POSITIVE
🚀,0.0,NEUTRAL
speak louder words look everyone eye today 👁👁,0.0,NEUTRAL
sfw nsfw,0.0,NEUTRAL
plea check out,0.0,NEUTRAL
big thank yomi,0.3612,POSITIVE
🚫no co get someth chang,0.0,NEUTRAL
recommend accessoir pont de dcorat aquarium et maison proud ❤🧡💛💚💙💜,0.6808,POSITIVE
contest featured 🐶,0.0,NEUTRAL
use email socialcom,0.0,NEUTRAL
🔑 great stuff coach keep ad valuechines gospel song confus devil 😂 version 😂,-0.0772,NEUTRAL
shot by,0.0,NEUTRAL
edit by circl ❤,0.0,NEUTRAL
learn them🙏 subscrib 🌞✨ retweet,0.0,NEUTRAL
😘,0.0,NEUTRAL
🦚,0.0,NEUTRAL
🌈 daili content,0.0,NEUTRAL
💦 person requ have good peopl love,0.7964,POSITIVE
medit awaay,0.0,NEUTRAL
🙏🙏❤❤🎵🎼🎥,0.0,NEUTRAL
commission kaby night elf rogu lvl 😉,0.0,NEUTRAL
mcclure 💖🌈💖🧡💛💚💙💖🌈💖,0.0,NEUTRAL
way get rid temptat yield it,0.0,NEUTRAL
shout shirt😩🔥🖤💜 dope artist well go check kiid ou born in☑ ☑ ♥ miss time one didnt wear mask buy groceries😃🙈 friends👇,0.128,NEUTRAL
ty🙏🤗,0.0,NEUTRAL
birthday babi love youu💚💚idk one like well take \ limit peac middl east for one knows could due them xd ⛽ ✈ 🙎 💀 🚠 tokyotower 👥 💗 🏪 🚶 👖 🌽dont modifi dream fit anyon else standard 💪🏽😎,0.9442,POSITIVE
albeit blustery weekend littl famili ❤ perk special mention end credit 🎬 backer number there could you 👉 👊check product 😍 rhea exclus backpack 😍,0.6808,POSITIVE
top product start ,0.2023,NEUTRAL
show 👉👉 love naughti littl nutcas 💙💙💙,0.6369,POSITIVE
phenylthiourea,0.0,NEUTRAL
halfwhisperingly,0.0,NEUTRAL
awesom trend music game,0.0,NEUTRAL
funny exicting challenge,0.4939,POSITIVE
check out 👉til hop👈,0.0,NEUTRAL
friday weekend natur best birthday🥰 support new materi,0.7845,POSITIVE
😉,0.0,NEUTRAL
😉,0.0,NEUTRAL
😉,0.0,NEUTRAL
😉,0.0,NEUTRAL
😉,0.0,NEUTRAL
bowielif mar remind dad 🙌❤keep head toward horizon,0.0,NEUTRAL
🎮 new youtub vid carniv vlog🎡🤍 go like comment subscrib pl would mean need good dick 🤣 pride 🐶🐾💜💙💚💛🧡❤,0.5423,POSITIVE
love classic msic ,0.6369,POSITIVE
😍😍😍,0.0,NEUTRAL
come stay hous tonight promis make visit memorable🖤🤗🤗 as awesom trend music game,0.0,NEUTRAL
funny exicting challenge,0.4939,POSITIVE
check out 👉til hop👈,0.0,NEUTRAL
awesom trend music game,0.0,NEUTRAL
funny exicting challenge,0.4939,POSITIVE
check out 👉til hop👈,0.0,NEUTRAL
support new materi,0.4019,POSITIVE
😉,0.0,NEUTRAL
😉,0.0,NEUTRAL
😉,0.0,NEUTRAL
😉,0.0,NEUTRAL
😉,0.0,NEUTRAL
fun 😆😆😆😆 lishkadish le petit manoi time✨us code 👉🏻rbcbsmeat checkout get entir purchas redbubble💜 stamp leaving,0.5106,POSITIVE
lift spirit beauti sunday afternoon 🙌 enjoy,0.5994,POSITIVE
🎶 sing guitar🙏 solut baldness worri more😊 call whatsapp,0.0,NEUTRAL
part week hand 🥰🥰🥰,0.4939,POSITIVE
mrsallstarunitedst,0.0,NEUTRAL
time next month well reunited 👑❤👑,0.2732,NEUTRAL
👍 ©® by,0.0,NEUTRAL
avail,0.0,NEUTRAL
youtubemusic imusica amazonmu 😉,0.0,NEUTRAL
pc collagen patch,0.0,NEUTRAL
nature 🌹 promo trailer,0.0,NEUTRAL
prevail dark brilliant one 🤣🤣🤣,0.5859,POSITIVE
sairoz plea share like 🙂❤,0.5719,POSITIVE
sketch syedafatimazehra friends👇,0.0,NEUTRAL
day reflect worship worship saultry puppi dog beauti brown eyes 😻 cub 🐺❤ emot,0.5267,POSITIVE
harm,-0.5423,NEGATIVE
😠 weaken liver,-0.4215,NEGATIVE
😥 weaken lung,-0.4215,NEGATIVE
😢weaken stomach your mine ❤ ▪juicy▪ awesom trend music game,0.0,NEUTRAL
funny exicting challenge,0.4939,POSITIVE
check out 👉til hop👈,0.0,NEUTRAL
oh benyhow make smile 😁😁😁sun ☀ kiss leg sunni 😎 sunday afternoon,0.6486,POSITIVE
☀ toronto get it 🙌🏻🌊🧜‍♀️,0.0,NEUTRAL
sunday train dana pt ca,0.0,NEUTRAL
💙💙💙💙💙💙💙💙💙💙💙,0.0,NEUTRAL
sale current happen 🤍 first ten peopl quiet lazi feel good kinda sunday☺💙 okhand share this what happen refuge crisi arguabl evid great  even face,0.8375,POSITIVE
chill day 😍,0.0,NEUTRAL
day dday,0.0,NEUTRAL
☀ poppin care anybodi says 😊,0.4939,POSITIVE
▪,0.0,NEUTRAL
▪,0.0,NEUTRAL
happening regist summit tune home australia grow ⚡⚡⚡,0.0,NEUTRAL
🙏just iv live life need metime quiet downtim natur thingggg bling bloawwww badow owww oouuuuuu lol 💎💎💎💎💎💎mus 📢✨,0.4215,POSITIVE
💪🏼may relax sunday🥰 ♥ make perfect moment❤,0.765,POSITIVE
💕 girl read make sad lol peopl realli find much valu thing never thought twice 🥺 east metroid prime beat 😂😂😂stop work assist famili see beauty 😊 vtbridg,0.5423,POSITIVE
🎨,0.0,NEUTRAL
bio go run up🔥🧡⭐,0.0,NEUTRAL
york vibe 🛹,0.0,NEUTRAL
video drop 🎥🔥🔥🔥 🏳️‍🌈,-0.2732,NEUTRAL
🌈 like da senseless mass shoot make one wonder whatll happen truump outta officeunitedstates wi first time touch dog amaz feeling ❤what post make sure retweet like😁🤤 well day water australia,0.6124,POSITIVE
brilliant read,0.5859,POSITIVE
hous fill shadow world hidden dark suddenli reach,0.0258,NEUTRAL
❤act mari ann,0.0,NEUTRAL
➡gal badonkadonk,0.0,NEUTRAL
⭐art jayge,0.0,NEUTRAL
⭐loc eap studio,0.0,NEUTRAL
⭐prod eap still kinda drunk home sister friend take eat tell 🥰🥰 throwback front yard teddi bear sorenseninstpaul ♥♥ love alway daniel perfect worth 🧡,0.8977,POSITIVE
pride🏳️‍🌈✨,0.0,NEUTRAL
love me,0.6369,POSITIVE
love you,0.6369,POSITIVE
love her,0.6369,POSITIVE
love someon,0.6369,POSITIVE
love coz,0.6369,POSITIVE
love anoth girl💔 take breath away❤thi old render mine thought post cuz summer hot😅,0.6369,POSITIVE
im realli feel like pool ❤ may commun protect keep safe awesom trend music game,0.7906,POSITIVE
funny exicting challenge,0.4939,POSITIVE
check out 👉til hop👈,0.0,NEUTRAL
dad introduc bowi kid brought proper ❤,0.0,NEUTRAL
 dmarcy😻😻😻😻😻😻😻,0.0,NEUTRAL
👑 💓 dmarci 😽😽😽😽😽😽😽 ❤❤ happi birthday ✨💕✨😊☮❤🧘🏿‍♀️ elma hat beach bro right way 📦📦✈✈🚛🚛 ❤ may commun protect keep safe wait arriv 🤣🤣🤣🤣 thalapathi fan bro❤ yourself 😇💫💕,0.7783,POSITIVE
fun around beauti friends💋 worthi retweet 💖🙏 😊wow tit ass thought guy like as well 😂thank love comments good wish dm 🙏🏻 maddi danger home day love ❤🧡💛💚💙💜🖤🤍🤎 washington dc night aerith tifa 😋,0.9325,POSITIVE
model,0.0,NEUTRAL
see patreon,0.0,NEUTRAL
thank sup date 💗👻,0.3612,POSITIVE
✨ th pop smoke releas platform porn site  differ type time clock 👽⏰🔥,0.0,NEUTRAL
tap owe noth 🌴 🌟 🛒,0.0,NEUTRAL
😎🌴🛒,0.0,NEUTRAL
terrifi dreams past love wild thing ✨ restor look 🌺🙏🏼🍻 cute dm wait ✨,0.872,POSITIVE
paypal bio,0.0,NEUTRAL
everyon stop today love stream ❤❤,0.4588,POSITIVE
💘 ❤ 😍 💖beauti 😻💦💦💦 mood make new content suggestions 😍,0.0,NEUTRAL
import thing world famili love💞 us famili mean put arm around pearson ❤❤,0.0,NEUTRAL
aaand room martin littl tooth 😍😍😍❤ ❤,0.0,NEUTRAL
mbrace brights never afraid yellow even your asian find beauti color skin tones help he loner goat 🐐 🐱 fat 🙏🏽who readi fresh weeek  🙋🏻‍♀️ cmon guyzzz excus week let give wee malkovaful updat content ❤,0.4767,POSITIVE
start trade eanr good profits 👉💵💯,0.7003,POSITIVE
im exhaust look,-0.296,NEUTRAL
🙄,0.0,NEUTRAL
jeann,0.0,NEUTRAL
horror fam well 🔪👻💀 ☝🏿sickl cell pioneer attn research center jn medic coll crisi current plagu labor party lack stabil case evid inabi someon say itthey come 🙄 smile  believ self ✊🏻✊🏻✊🏻 uhhh jst need smile tackl situat life ❤❤❤🙃🙃🙃 out only ✅ free ship,0.7269,POSITIVE
pt producedbi outnow 💥💥💥💥 hot summer start prospect💥,0.0,NEUTRAL
nail tech 💗💗💗follow bliss like call loveli view,0.7351,POSITIVE
art patreoncomkeknotesav,0.0,NEUTRAL
shout artist😍 jnstudioart randomli paint 🎨 beauti piec arti think amaz 😍 know feel it ride wave grace gratitud compassion excitement🧬✨🦋,0.7003,POSITIVE
tiger alert🚨 would like welcom connor jone zou connor transfer rockhurst univers noth 😜😜,0.3612,POSITIVE
chunki babi 😍😍😍 laugh 😂 babi harm make video reason swat chunki leg 🌈,0.0258,NEUTRAL
drop handles,-0.2732,NEUTRAL
now🌞sunday chill love one 💘💖🌹💞🎵🎶😘🥰 pool season offici open 😄😍🌺💐,0.6369,POSITIVE
❤ love like do,0.7717,POSITIVE
☝🏾❤ awesom trend music game,0.0,NEUTRAL
funny exicting challenge,0.4939,POSITIVE
check out 👉til hop👈,0.0,NEUTRAL
im free fuck hoe make guy pay like retweet ill show love 💕👅😈 favourit moment far name drop 😍 name superstar never realli play wow reallli like elf design 😳 video live  answer question reveal the truth 🤣 mebut video you get reward 😍,0.68,POSITIVE
mani heard let know comment names question ask awesom trend music game,0.0,NEUTRAL
funny exicting challenge,0.4939,POSITIVE
check out 👉til hop👈,0.0,NEUTRAL
steadi sunday,0.0,NEUTRAL
im go punch sumn 🥊💯💪🏿,0.0,NEUTRAL
👕,0.0,NEUTRAL
think favorit one wear 😋 fan block ❤tak care you 💙,0.3818,POSITIVE
pride🏳️‍🌈🏳️‍🌈🏳️‍🌈,0.0,NEUTRAL
m cutie💞 right,0.0,NEUTRAL
wanna see cuteness,0.5106,POSITIVE
link bio🌺,0.0,NEUTRAL
shoutout sheinoffici killer tig right dm snapchat 😚best,-0.6486,NEGATIVE
bad none 💕,-0.5423,NEGATIVE
❤ 😍 divin creation 🙏 let 🙂a good laugh long sleep two best cure anything ❤ cardsor cheer friend 🙂,0.9601,POSITIVE
get freaki free fuck 😂 day 💀 joe natta horror time 🎥 🎶🎃 custom make logo client ❤🙏🏻,-0.5994,NEGATIVE
dm get now,0.0,NEUTRAL
need logo❣,0.0,NEUTRAL
make logo begin brudda💕🤟🏾read time 🥰 pride🏳️‍🌈✨,0.0,NEUTRAL
me bbdollbunbun 😍 pride 🌈🌈🌈 well yeah need 😄 noth beat first run new shoes ❤🏃‍♀️🎉🌞🎶 s broadcast sunday 💁🏼‍♀️☕,0.6908,POSITIVE
semi new nsfw twt 💫,0.0,NEUTRAL
lara,0.0,NEUTRAL
sheher,0.0,NEUTRAL
minor dni,0.0,NEUTRAL
small tit 🍒,0.0,NEUTRAL
awesom trend music game,0.0,NEUTRAL
funny exicting challenge,0.4939,POSITIVE
check out 👉til hop👈,0.0,NEUTRAL
side left complet ⭐,0.0,NEUTRAL
late 🌈ap clip 🔥🔥,0.0,NEUTRAL
come see,0.0,NEUTRAL
🔥 🔥,0.0,NEUTRAL
💦,0.0,NEUTRAL
sorri break yall aint oppress shit get fuck life tire bullshit trust this influenc immigr a unfortun result mani time peopl minu one 🙏 trust great afternoon 😁,0.7449,POSITIVE
name song❗🍑🥁🍆 mo,0.0,NEUTRAL
late 🌈ap clip 🔥🔥,0.0,NEUTRAL
come see,0.0,NEUTRAL
🔥 🔥,0.0,NEUTRAL
💦,0.0,NEUTRAL
pride🏳️‍🌈✨,0.0,NEUTRAL
